date,tot-value,vol,sharpe,pnl-pt
1982-05-18,99467.207529,0.000013,-178.271930,-2.501373
1982-05-19,99467.207529,0.000013,-183.043417,-2.489684
1982-05-20,99458.745888,0.000013,-182.134703,-2.517461
1982-05-21,99476.170838,0.000014,-163.641613,-2.425135
1982-05-24,99449.201942,0.000015,-155.171810,-2.538240
1982-05-25,99439.891808,0.000013,-189.234637,-2.569304
1982-05-26,99420.648597,0.000014,-179.998360,-2.645440
1982-05-27,99420.648597,0.000012,-202.672934,-2.633415
1982-05-28,99400.210494,0.000014,-184.986376,-2.713980
1982-06-01,99421.186254,0.000014,-177.044772,-2.607269
1982-06-02,99410.445189,0.000013,-200.225881,-2.643744
1982-06-03,99354.879853,0.000022,-127.527769,-2.880001
1982-06-04,99354.879853,0.000012,-229.031977,-2.867201
1982-06-07,99331.306458,0.000014,-201.705911,-2.958821
1982-06-08,99331.306458,0.000012,-238.774412,-2.945787
1982-06-09,99343.660641,0.000013,-222.679073,-2.878681
1982-06-10,99430.942282,0.000031,-80.022724,-2.484968
1982-06-11,99380.225491,0.000020,-132.460580,-2.694672
1982-06-14,99393.235747,0.000013,-206.415885,-2.626685
1982-06-15,99459.020680,0.000024,-96.267262,-2.331807
1982-06-16,99459.020680,0.000012,-196.273423,-2.321800
1982-06-17,99445.411147,0.000013,-189.870967,-2.370038
1982-06-18,99431.493585,0.000013,-194.652378,-2.419176
1982-06-21,99473.923219,0.000018,-126.664920,-2.229139
1982-06-22,99615.222827,0.000047,-35.957314,-1.623532
1982-06-23,99601.022513,0.000013,-137.271980,-1.676376
1982-06-24,99513.368662,0.000030,-70.402137,-2.036114
1982-06-25,99543.284021,0.000015,-131.324098,-1.902983
1982-06-28,99573.543415,0.000015,-122.388216,-1.769529
1982-06-29,99573.543415,0.000012,-158.371018,-1.762217
1982-06-30,99479.068125,0.000032,-71.405443,-2.143753
1982-07-01,99348.232789,0.000043,-66.818831,-2.671177
1982-07-02,99331.374382,0.000013,-228.676496,-2.729084
